method,slice_type,slice_name,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,win_loss_ratio,A_gt_1_rate,mean_A
LRBN-BP-stage3-gated,gap_repair,high_gap__low_repair,163,0.1411042944785276,-2.2948531603438687,-0.11188170872960233,0.06748466257668712,0.0736196319018405,5.239236320569804,0.0736196319018405,-0.014100932026452325
LRBN-BP-stage3-gated,gap_repair,high_gap__mid_repair,29,0.13793103448275862,0.3726441371493474,0.013187245419339879,0.06896551724137931,0.06896551724137931,0.8544499693609362,0.06896551724137931,0.04251151920311382
LRBN-BP-stage3-gated,gap_repair,high_gap__high_repair,2,1.0,-0.10986025107949393,-0.000371669862011037,0.5,0.5,13.552818608840203,0.5,-291.9211991605009
LRBN-BP-repair-gate,gap_repair,low_gap__low_repair,48,1.0,-0.01146391951277577,-0.0005963429114766069,0.4791666666666667,0.5208333333333334,0.9370087656298777,0.5208333333333334,18.905041500951764
LRBN-BP-repair-gate,gap_repair,low_gap__mid_repair,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-repair-gate,gap_repair,low_gap__high_repair,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-repair-gate,gap_repair,mid_gap__low_repair,258,1.0,-1.5474570158913854,-0.07083992300423556,0.3992248062015504,0.6007751937984496,1.3938462266592637,0.6007751937984496,6.931264194444978
LRBN-BP-repair-gate,gap_repair,mid_gap__mid_repair,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-repair-gate,gap_repair,mid_gap__high_repair,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-repair-gate,gap_repair,high_gap__low_repair,163,1.0,-5.96178583713379,-0.29065684814383497,0.25766871165644173,0.7423312883435583,1.8383064042837454,0.7423312883435583,13.44684993678494
LRBN-BP-repair-gate,gap_repair,high_gap__mid_repair,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-repair-gate,gap_repair,high_gap__high_repair,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
