method,sample_id,dataset,backbone,horizon,seed,split,delta_mse_vs_lrbn,selected,strength,g_l,g_y,repair_ratio,jump_support,A,case_type
LRBN-BP-always,test_00050,ETTh1,DLinear,192,2026,test,-0.004573269958368709,True,1.0,0.02908553380368519,0.0,0.9854198240891191,0.6666666666666666,75.78656510998218,low_gap_high_repair_harm
LRBN-BP-always,test_00039,ETTh1,DLinear,192,2026,test,-0.012247015507166559,True,1.0,0.4628018370078525,0.7078479693838731,0.8552584922074224,0.56149651080638,2.4165621608286942,low_gap_high_repair_harm
LRBN-BP-always,test_00093,ETTh1,DLinear,192,2026,test,-0.024820064996629476,True,1.0,0.36103973597230776,1.0316751450932686,0.8577317382016236,0.6263643586057442,5.908103786600001,low_gap_high_repair_harm
LRBN-BP-always,test_00076,ETTh1,DLinear,192,2026,test,-0.042690830968108884,True,1.0,0.06885711673182317,3.414336706646461,0.987084933732077,0.6666666666666666,879.1858860489616,low_gap_high_repair_harm
LRBN-BP-always,test_00091,ETTh1,DLinear,192,2026,test,-0.06369430875299864,True,1.0,0.5098470375510933,0.730120306740782,0.7358347442010151,0.4732664648625131,5.949743296077711,low_gap_high_repair_harm
LRBN-BP-always,test_00072,ETTh1,DLinear,192,2026,test,-0.07997003701914362,True,1.0,0.3318390988119847,0.07164935904846505,0.7947243939248039,0.6437707278463876,9.851654241716403,low_gap_high_repair_harm
LRBN-BP-always,test_00066,ETTh1,DLinear,192,2026,test,-1.8566828947196887,True,1.0,5.759051517563347,1.0458852715664082,-1.8447804746964054,0.07087192209576758,4.015472461507623,high_gap_low_repair_win
LRBN-BP-always,test_00085,ETTh1,DLinear,192,2026,test,-0.9286467527991782,True,1.0,5.151530409413089,0.5093469986508606,-1.879358503727028,0.07906433415226115,6.54363513918822,high_gap_low_repair_win
LRBN-BP-always,test_00003,ETTh1,DLinear,192,2026,test,1.0591314413082262,True,1.0,4.5131758490617155,3.0701720978684865,-2.1316837757452105,0.09300259146169072,-1.6890299005532508,high_gap_low_repair_win
LRBN-BP-always,test_00060,ETTh1,DLinear,192,2026,test,4.377029371485616,True,1.0,4.571762467456284,3.617196926912944,-5.279243967546975,0.08643665048931021,-12.685494027006426,high_gap_low_repair_win
LRBN-BP-always,test_00003,ETTh1,PatchTST,96,2026,test,2.666591952712831,True,1.0,6.895219904587744,0.8608428816252458,-0.07472120684598482,0.13881321369963287,-0.5708580943726262,top_harm
LRBN-BP-always,test_00040,ETTh1,PatchTST,96,2026,test,2.38368193763395,True,1.0,2.6906181850289466,0.7097791937802569,0.02575541071210341,0.2964405384968523,-10.119038829897173,top_harm
LRBN-BP-always,test_00008,ETTh1,PatchTST,96,2026,test,1.8683036882853195,True,1.0,4.512021997718472,0.09559543106682433,0.10758054449623311,0.24079126803853498,-1.0430769471592127,top_harm
LRBN-BP-always,test_00001,ETTh1,PatchTST,96,2026,test,1.5976518072455224,True,1.0,7.544147760923083,0.14116493239467334,0.13088283777514442,0.09694065414130455,-0.3246433697834089,top_harm
LRBN-BP-always,test_00021,ETTh1,PatchTST,96,2026,test,1.1148138911472198,True,1.0,1.23873163771264,0.4180423367790974,-0.12528473822819963,0.6024254629582677,-18.05862808693853,top_harm
LRBN-BP-always,test_00015,ETTh1,PatchTST,96,2026,test,0.9621916236809969,True,1.0,8.413324595077846,1.0551336353365537,-0.43712281157707356,0.09228028868214923,-0.01441805875385344,top_harm
