row_index,horizon,k_used,mean_distance,min_distance,memory_candidate,split,candidate,n,mean_mse_delta,win_rate,harm_rate
78,96,9,2.5546252531125653,1.6722618020537152,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
79,96,9,2.5824841908867224,1.7757825448926843,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
80,96,9,2.485213907243094,2.0133829041615,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
81,96,9,2.924647071798087,1.9582761685021828,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
82,96,9,3.5228975228877197,2.624763824515383,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
83,96,9,2.7040666228141284,2.2272382747799964,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
84,96,9,3.7825476437059375,2.518605900542046,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
85,96,9,7.013504718705856,5.45278970271403,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
86,96,9,3.4030776824776763,2.6227301099230678,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
116,96,9,1.743454717891575,0.8386760076379375,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
117,96,9,1.5097796170984263,1.0282734919129914,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
118,96,9,2.8577454558188515,1.6436214091197585,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
119,96,9,1.5119693420528773,1.0987712712961668,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
120,96,9,2.816059971231821,1.9741766883429166,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
